timestamp,elapsed_time_s,trial,target_rpm,command_rpm,command_change_flag,command_timestamp,command_elapsed_s,rpm_left,rpm_right,rpm_average,rpm_error_left,rpm_error_right,vbus,motor_state,sample_interval_s
2026-09-18T07:09:25.283+07:00,0.7264905449992511,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.029882868999266066
2026-09-18T07:09:25.315+07:00,0.7558618200000637,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.029371275000812602
2026-09-18T07:09:25.344+07:00,0.786386940999364,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03052512099930027
2026-09-18T07:09:25.378+07:00,0.8186605459995917,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03227360500022769
2026-09-18T07:09:25.406+07:00,0.8466722419998405,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.028011696000248776
2026-09-18T07:09:25.437+07:00,0.8776815009987331,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03100925899889262
2026-09-18T07:09:25.463+07:00,0.9052878759994201,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.027606375000686967
2026-09-18T07:09:25.495+07:00,0.9358728070001234,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.030584931000703364
2026-09-18T07:09:25.524+07:00,0.9674798710002506,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03160706400012714
2026-09-18T07:09:25.552+07:00,0.9956014239996875,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.02812155299943697
2026-09-18T07:09:25.584+07:00,1.0275185419995978,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03191711799991026
2026-09-18T07:09:25.614+07:00,1.057613606999439,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03009506499984127
2026-09-18T07:09:25.652+07:00,1.0956061739998404,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03799256700040132
2026-09-18T07:09:25.675+07:00,1.1177583289991162,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.022152154999275808
2026-09-18T07:09:25.704+07:00,1.1475273389987706,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.029769009999654372
2026-09-18T07:09:25.734+07:00,1.1774195519992645,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.02989221300049394
2026-09-18T07:09:25.763+07:00,1.2062212799992267,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.028801727999962168
2026-09-18T07:09:25.795+07:00,1.2378518629993778,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03163058300015109
2026-09-18T07:09:25.822+07:00,1.2653937899995071,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.027541927000129363
2026-09-18T07:09:25.856+07:00,1.2962772229984694,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.030883432998962235
2026-09-18T07:09:25.883+07:00,1.3263901439986512,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.030112921000181814
2026-09-18T07:09:25.920+07:00,1.3635035890001745,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03711344500152336
2026-09-18T07:09:25.945+07:00,1.3883581979989685,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.024854608998793992
2026-09-18T07:09:25.976+07:00,1.419397025998478,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.031038827999509522
2026-09-18T07:09:26.009+07:00,1.4524065489986242,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.033009523000146146
2026-09-18T07:09:26.034+07:00,1.4772411889989598,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.02483464000033564
2026-09-18T07:09:26.064+07:00,1.507302397998501,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.030061208999541122
2026-09-18T07:09:26.096+07:00,1.5374632879993442,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03016089000084321
2026-09-18T07:09:26.125+07:00,1.5674668310002744,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.030003543000930222
2026-09-18T07:09:26.154+07:00,1.5969219469989184,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.029455115998644033
2026-09-18T07:09:26.183+07:00,1.6254379089987196,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.02851596199980122
2026-09-18T07:09:26.216+07:00,1.6597854430001462,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03434753400142654
2026-09-18T07:09:26.243+07:00,1.6853874259995791,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.02560198299943295
2026-09-18T07:09:26.276+07:00,1.718738363999364,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.033350937999784946
2026-09-18T07:09:26.311+07:00,1.7533922080001503,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.034653844000786194
