phase,t,erpm,iq,id,imotor,ibat,duty,vd,vq,vin,fault,position,position_target
run,0.007169415000134904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
run,0.05400638800028901,0.0,0.57,-0.01,-0.59,-0.02,0.091,0.209,2.187,42.3,0,0,0
run,0.09875521200001458,0.0,0.95,0.08,0.96,0.06,0.17,-1.513,3.815,42.3,0,0,0
stop,0.004566316999898845,935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
stop,0.06134901899986289,765.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,42.2,0,0,0
stop,0.11595624399978988,522.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,42.3,0,0,0
stop,0.17109211500019228,383.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,42.3,0,0,0
stop,0.22584234899977673,383.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,42.3,0,0,0
stop,0.28080829800001084,383.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,42.3,0,0,0
stop,0.33554128400010086,383.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,42.3,0,0,0
stop,0.39235518699979366,383.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,42.3,0,0,0
stop,0.4472941600001832,383.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,42.3,0,0,0
stop,0.5024699659998078,383.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,42.3,0,0,0
stop,0.5573361699998713,383.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,42.3,0,0,0
stop,0.6121024720000605,383.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,42.3,0,0,0
stop,0.6668332529998224,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,42.3,0,0,0
stop,0.7214923850001469,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,42.3,0,0,0
stop,0.7763603200000944,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,42.3,0,0,0
