phase,t,erpm,iq,id,imotor,ibat,duty,vd,vq,vin,fault,position,position_target
run,1.4153915800002324,253.0,0.2,-0.02,-0.21,-0.02,0.066,0.047,1.593,42.2,0,0,0
run,1.4600839019999512,237.0,0.23,-0.01,0.0,0.0,0.058,0.241,1.385,42.2,0,0,0
run,1.5047337599999082,229.0,0.24,0.02,0.0,0.0,0.052,-0.258,1.223,42.2,0,0,0
run,1.5516195959999095,230.0,0.23,0.0,0.0,0.0,0.062,0.116,1.487,42.2,0,0,0
run,1.5984213980000277,219.0,0.23,0.0,0.0,0.0,0.061,0.059,1.455,42.2,0,0,0
run,1.6453064980000818,215.0,0.24,0.0,0.0,0.0,0.082,-0.066,1.98,42.2,0,0,0
run,1.6921778700002506,263.0,0.23,0.0,0.0,0.0,0.089,-0.665,2.028,42.2,0,0,0
run,1.7369138419999217,286.0,0.22,0.01,0.0,0.0,0.06,-0.355,1.391,42.2,0,0,0
run,1.7818633259998933,311.0,0.19,-0.01,0.0,0.0,0.069,-0.204,1.645,42.2,0,0,0
run,1.8287334179999561,312.0,0.18,0.0,0.0,0.0,0.074,-0.093,1.774,42.2,0,0,0
run,1.873532816000079,330.0,0.18,0.0,0.0,0.0,0.071,-0.186,1.692,42.2,0,0,0
run,1.9183157970001048,320.0,0.19,0.0,0.0,0.0,0.056,-0.241,1.329,42.2,0,0,0
run,1.9650676129999738,291.0,0.2,0.0,0.0,0.0,0.054,-0.04,1.291,42.2,0,0,0
run,2.0118742150002618,245.0,0.2,0.0,0.0,0.0,0.055,-0.135,1.315,42.2,0,0,0
run,2.0587141310002153,225.0,0.22,0.0,0.25,0.02,0.068,-0.223,1.623,42.2,0,0,0
run,2.103383349000069,225.0,0.23,-0.02,0.0,0.0,0.113,1.538,2.242,42.2,0,0,0
run,2.1481109690002995,235.0,0.24,0.0,0.0,0.0,0.065,-0.181,1.547,42.2,0,0,0
run,2.194899906000046,287.0,0.23,0.02,0.0,0.0,0.065,-0.517,1.464,42.2,0,0,0
run,2.241701708000164,288.0,0.2,-0.02,0.0,0.0,0.067,-0.204,1.598,42.2,0,0,0
run,2.288459892999981,301.0,0.2,0.0,0.23,0.02,0.039,-0.922,0.184,42.2,0,0,0
run,2.3331788720001896,307.0,0.2,0.0,0.0,0.0,0.061,0.045,1.471,42.2,0,0,0
run,2.377927996999915,307.0,0.19,0.02,0.0,0.0,0.073,-0.565,1.653,42.2,0,0,0
run,2.4247383110000555,316.0,0.19,0.0,0.0,0.0,0.068,-0.209,1.614,42.2,0,0,0
run,2.4717027110000345,310.0,0.2,-0.01,0.0,0.0,0.061,-0.102,1.471,42.2,0,0,0
run,2.5163955450002504,305.0,0.19,0.01,0.0,0.0,0.06,-0.3,1.405,42.2,0,0,0
run,2.5612232010003027,273.0,0.21,-0.01,-0.22,-0.02,0.051,-0.22,1.198,42.2,0,0,0
run,2.6079599449999478,254.0,0.22,0.02,0.22,0.02,0.058,-0.468,1.304,42.2,0,0,0
run,2.65491285600001,238.0,0.22,0.0,0.0,0.0,0.065,-0.42,1.513,42.2,0,0,0
run,2.7017654750002293,235.0,0.24,-0.02,0.0,0.0,0.062,0.031,1.503,42.2,0,0,0
run,2.748553197000092,249.0,0.21,0.0,0.23,0.02,0.074,-0.19,1.774,42.2,0,0,0
run,2.7932796009999947,288.0,0.26,0.01,0.0,0.0,0.046,-0.274,1.075,42.2,0,0,0
run,2.83800549300031,302.0,0.19,0.01,0.0,0.0,0.065,-0.431,1.515,42.2,0,0,0
run,2.884899522000069,308.0,0.19,-0.01,0.21,0.02,0.06,-0.301,1.417,42.2,0,0,0
run,2.9316534180002236,287.0,0.21,0.0,-0.22,-0.02,0.059,-0.183,1.401,42.2,0,0,0
run,2.9784160829999564,273.0,0.21,-0.01,0.21,0.02,0.06,0.269,1.429,42.2,0,0,0
run,3.023133526000038,258.0,0.23,0.01,0.24,0.02,0.05,-0.241,1.186,42.2,0,0,0
run,3.0678996440001356,237.0,0.24,0.01,0.0,0.0,0.051,-0.352,1.165,42.2,0,0,0
run,3.1125966710001194,219.0,0.23,-0.01,0.0,0.0,0.063,-0.13,1.511,42.2,0,0,0
run,3.1573114910002005,219.0,0.23,0.01,0.25,0.02,0.083,-0.285,1.988,42.2,0,0,0
run,3.2040917879999142,277.0,0.24,0.0,0.0,0.0,0.08,-0.436,1.884,42.2,0,0,0
run,3.2487168450002173,330.0,0.22,0.0,0.23,0.02,0.061,-0.38,1.414,42.2,0,0,0
run,3.2934223850002127,338.0,0.18,0.0,0.0,0.0,0.065,-0.433,1.509,42.2,0,0,0
run,3.340184729000157,320.0,0.17,0.0,0.0,0.0,0.067,-0.223,1.603,42.2,0,0,0
run,3.3869676510003046,307.0,0.2,0.0,0.0,0.0,0.065,-0.332,1.536,42.2,0,0,0
run,3.433820719000323,301.0,0.21,0.0,0.0,0.0,0.063,-0.285,1.486,42.2,0,0,0
run,3.4785624520000056,296.0,0.19,-0.02,0.0,0.0,0.072,0.058,1.742,42.2,0,0,0
run,3.523251991000052,288.0,0.21,0.05,0.24,0.02,0.095,-1.167,1.974,42.2,0,0,0
run,3.568018876000224,318.0,0.19,-0.02,0.0,0.0,0.086,-0.345,2.036,42.2,0,0,0
run,3.612773985000331,385.0,0.19,0.01,0.0,0.0,0.076,-0.551,1.733,42.2,0,0,0
run,3.657554854999944,392.0,0.17,0.02,0.19,0.02,0.064,-0.822,1.312,42.2,0,0,0
run,3.7045840250002584,359.0,0.13,-0.03,0.0,0.0,0.072,-0.105,1.726,42.2,0,0,0
run,3.751360449999993,327.0,0.18,0.0,0.0,0.0,0.068,-0.206,1.629,42.2,0,0,0
run,3.7981766210000387,310.0,0.22,0.0,0.0,0.0,0.052,-0.266,1.224,42.2,0,0,0
run,3.8429770120001194,282.0,0.2,0.0,0.0,0.0,0.056,-0.135,1.331,42.2,0,0,0
run,3.8877225210003417,247.0,0.22,0.01,0.0,0.0,0.058,-0.214,1.386,42.2,0,0,0
run,3.9345342110000274,234.0,0.21,0.0,0.25,0.04,0.08,-0.2,1.923,42.2,0,0,0
run,3.981348845999946,277.0,0.24,0.0,0.0,0.0,0.078,-0.102,1.865,42.2,0,0,0
run,4.028125462999924,360.0,0.23,0.02,0.0,0.0,0.069,-0.583,1.553,42.2,0,0,0
run,4.074989764000293,336.0,0.17,-0.01,0.0,0.0,0.064,-0.332,1.513,42.2,0,0,0
run,4.1218507040002805,314.0,0.19,-0.01,0.2,0.02,0.067,-0.017,1.618,42.2,0,0,0
run,4.166584180999962,287.0,0.2,0.01,0.0,0.0,0.068,-0.345,1.611,42.2,0,0,0
run,4.211363514999903,287.0,0.24,0.0,0.0,0.0,0.052,-0.302,1.225,42.2,0,0,0
run,4.258051266000166,289.0,0.2,-0.02,0.0,0.0,0.061,-0.022,1.463,42.2,0,0,0
run,4.305037330000232,281.0,0.22,0.02,0.0,0.0,0.068,-0.376,1.606,42.2,0,0,0
run,4.3497394139999415,291.0,0.21,-0.01,0.0,0.0,0.074,0.036,1.772,42.2,0,0,0
run,4.394384568000078,290.0,0.23,0.01,-0.24,-0.02,0.067,-0.199,1.594,42.2,0,0,0
run,4.4411842580002485,302.0,0.23,0.01,0.0,0.0,0.064,-0.59,1.419,42.2,0,0,0
run,4.487944875000267,288.0,0.2,-0.01,0.0,0.0,0.065,-0.216,1.544,42.2,0,0,0
run,4.532586125000307,281.0,0.23,-0.01,0.0,0.0,0.067,0.065,1.623,42.2,0,0,0
run,4.577276303999952,285.0,0.22,0.0,0.22,0.02,0.069,-0.022,1.654,42.2,0,0,0
run,4.624151388999962,277.0,0.24,0.02,0.0,0.0,0.063,-0.33,1.487,42.2,0,0,0
run,4.670989128000201,287.0,0.23,0.0,0.0,0.0,0.064,-0.276,1.512,42.2,0,0,0
run,4.71774449700024,283.0,0.22,-0.01,0.0,0.0,0.067,-0.237,1.593,42.2,0,0,0
run,4.762424660000306,281.0,0.23,0.0,0.0,0.0,0.069,-0.216,1.651,42.2,0,0,0
run,4.807175609000296,277.0,0.22,-0.01,0.23,0.02,0.066,-0.066,1.587,42.2,0,0,0
run,4.853987140000299,267.0,0.26,0.0,0.0,0.0,0.043,0.003,1.042,42.2,0,0,0
run,4.900908018000337,267.0,0.24,0.02,0.0,0.0,0.045,-0.33,1.026,42.2,0,0,0
run,4.947681372000261,217.0,0.25,-0.02,0.0,0.0,0.055,0.181,1.313,42.2,0,0,0
run,4.992393120000088,184.0,0.27,0.02,0.0,0.0,0.059,-0.228,1.401,42.2,0,0,0
run,5.037159270000302,178.0,0.27,-0.01,0.28,0.02,0.077,-0.035,1.862,42.2,0,0,0
run,5.084076436000032,232.0,0.28,0.0,0.0,0.0,0.078,-0.332,1.844,42.2,0,0,0
run,5.130931744999998,303.0,0.26,0.0,0.0,0.0,0.071,-0.352,1.671,42.2,0,0,0
run,5.175645284999973,335.0,0.19,0.0,0.0,0.0,0.067,-0.181,1.606,42.2,0,0,0
run,5.220294663000004,328.0,0.2,-0.01,0.0,0.0,0.067,0.133,1.612,42.2,0,0,0
run,5.267215670000041,315.0,0.2,0.0,0.0,0.0,0.07,-0.007,1.678,42.2,0,0,0
run,5.3119907160003095,289.0,0.23,0.01,0.0,0.0,0.056,-0.091,1.349,42.2,0,0,0
run,5.3566951040002095,279.0,0.22,0.01,0.22,0.02,0.07,-0.264,1.677,42.2,0,0,0
run,5.401389124000161,276.0,0.24,-0.02,0.0,0.0,0.067,-0.077,1.622,42.2,0,0,0
run,5.446098888000051,297.0,0.22,0.0,0.0,0.0,0.062,-0.35,1.458,42.2,0,0,0
run,5.490887310000289,318.0,0.22,0.0,0.25,0.04,0.072,0.102,1.73,42.2,0,0,0
run,5.535575410000092,344.0,0.21,0.02,0.0,0.0,0.074,-0.57,1.684,42.2,0,0,0
run,5.58026853299998,345.0,0.18,0.01,0.21,0.02,0.071,-0.352,1.679,42.2,0,0,0
run,5.624928440000076,360.0,0.18,-0.03,0.0,0.0,0.092,0.014,2.207,42.2,0,0,0
run,5.669766175999939,376.0,0.22,0.0,0.0,0.0,0.057,-0.098,1.366,42.2,0,0,0
run,5.716521800999999,365.0,0.17,0.0,0.0,0.0,0.07,0.102,1.693,42.2,0,0,0
run,5.761219885000173,326.0,0.2,0.0,0.0,0.0,0.065,-0.313,1.533,42.2,0,0,0
run,5.805956530000003,299.0,0.21,-0.01,0.0,0.0,0.068,-0.176,1.63,42.2,0,0,0
run,5.852793053999903,277.0,0.23,0.0,0.0,0.0,0.069,-0.005,1.649,42.2,0,0,0
run,5.89967217100002,281.0,0.24,0.0,0.0,0.0,0.068,-0.359,1.598,42.2,0,0,0
run,5.946448085000156,289.0,0.23,0.0,0.0,0.0,0.066,-0.348,1.561,42.2,0,0,0
run,5.991034741000021,293.0,0.23,0.01,0.26,0.04,0.073,-0.29,1.742,42.2,0,0,0
run,6.035791674999928,320.0,0.22,0.0,0.0,0.0,0.076,-0.508,1.756,42.2,0,0,0
run,6.082569861000138,334.0,0.22,0.0,0.0,0.0,0.138,-0.267,3.307,42.2,0,0,0
run,6.127310698000201,337.0,0.2,-0.01,0.0,0.0,0.069,-0.396,1.622,42.2,0,0,0
run,6.171993998000289,333.0,0.2,0.0,0.21,0.02,0.07,-0.047,1.677,42.2,0,0,0
run,6.21880204099989,335.0,0.21,0.01,0.0,0.0,0.068,-0.33,1.601,42.2,0,0,0
run,6.2634546829999636,310.0,0.22,0.0,0.0,0.0,0.071,-0.448,1.658,42.2,0,0,0
run,6.308206081000208,307.0,0.22,-0.01,0.0,0.0,0.069,0.003,1.653,42.2,0,0,0
run,6.3549732910000785,289.0,0.22,0.01,0.24,0.02,0.065,-0.493,1.499,42.2,0,0,0
run,6.399612076000267,299.0,0.23,-0.02,-0.24,-0.02,0.073,-0.095,1.745,42.2,0,0,0
run,6.444311023999944,293.0,0.24,-0.01,0.0,0.0,0.065,0.147,1.552,42.2,0,0,0
run,6.491150653000204,297.0,0.26,0.03,0.0,0.0,0.05,-0.551,1.08,42.2,0,0,0
run,6.535938883000199,279.0,0.21,-0.02,0.0,0.0,0.065,-0.404,1.522,42.2,0,0,0
run,6.5806369669999185,275.0,0.24,0.0,0.0,0.0,0.069,-0.142,1.644,42.2,0,0,0
run,6.627415506000034,281.0,0.23,-0.01,0.0,0.0,0.07,-0.123,1.69,42.2,0,0,0
run,6.674267037999925,290.0,0.25,0.01,0.0,0.0,0.066,-0.399,1.545,42.2,0,0,0
run,6.718963970000004,302.0,0.22,0.0,0.0,0.0,0.075,-0.172,1.788,42.2,0,0,0
run,6.76368531900016,311.0,0.23,0.0,0.0,0.0,0.076,-0.528,1.741,42.2,0,0,0
run,6.810486002000289,332.0,0.21,0.0,-0.22,-0.02,0.075,-0.153,1.8,42.2,0,0,0
run,6.857245371000317,338.0,0.22,0.0,-0.23,-0.02,0.07,-0.433,1.617,42.2,0,0,0
run,6.904028741000275,343.0,0.19,-0.01,-0.2,-0.02,0.078,-0.273,1.847,42.2,0,0,0
run,6.948756329999924,350.0,0.2,0.01,-0.22,-0.02,0.077,-0.221,1.844,42.2,0,0,0
run,6.993452493999939,384.0,0.2,-0.01,0.0,0.0,0.07,0.086,1.677,42.2,0,0,0
run,7.040306907000286,385.0,0.22,0.01,0.0,0.0,0.05,-0.561,1.073,42.2,0,0,0
run,7.087136358999942,323.0,0.17,-0.01,-0.18,-0.02,0.059,-0.309,1.385,42.2,0,0,0
run,7.131946734999929,287.0,0.22,0.0,0.0,0.0,0.062,-0.116,1.499,42.2,0,0,0
run,7.176705557000332,268.0,0.23,0.0,-0.24,-0.02,0.068,0.001,1.64,42.2,0,0,0
run,7.223499200000333,249.0,0.24,0.01,0.0,0.0,0.061,-0.117,1.455,42.2,0,0,0
run,7.27025671399997,256.0,0.29,0.0,0.3,0.02,0.058,-0.489,1.306,42.2,0,0,0
run,7.317105654999978,259.0,0.24,-0.01,0.0,0.0,0.065,-0.367,1.529,42.2,0,0,0
run,7.363848800000142,271.0,0.24,0.0,0.0,0.0,0.077,-0.121,1.855,42.2,0,0,0
run,7.408497474000342,297.0,0.25,0.0,-0.25,-0.02,0.074,-0.374,1.739,42.2,0,0,0
run,7.453215271000317,325.0,0.24,0.0,0.0,0.0,0.076,-0.473,1.753,42.2,0,0,0
run,7.500066644000071,341.0,0.21,0.0,0.0,0.0,0.076,-0.753,1.675,42.2,0,0,0
run,7.544784377000269,340.0,0.21,-0.02,0.0,0.0,0.078,-0.2,1.869,42.2,0,0,0
run,7.589473628000178,334.0,0.21,0.0,0.0,0.0,0.069,-0.336,1.619,42.2,0,0,0
run,7.636284424000223,318.0,0.23,0.0,0.0,0.0,0.06,-0.279,1.422,42.2,0,0,0
run,7.682247318999998,310.0,0.22,0.0,0.0,0.0,0.07,-0.283,1.667,42.2,0,0,0
run,7.7269984930003375,290.0,0.24,0.0,0.0,0.0,0.071,-0.38,1.665,42.2,0,0,0
run,7.771654111000316,307.0,0.22,-0.01,0.0,0.0,0.079,-0.1,1.888,42.2,0,0,0
run,7.81638240500024,328.0,0.25,0.0,0.0,0.0,0.059,-0.167,1.408,42.2,0,0,0
run,7.861083624999992,334.0,0.21,0.0,0.0,0.0,0.07,-0.163,1.668,42.2,0,0,0
run,7.907802769000227,318.0,0.23,0.0,0.0,0.0,0.061,-0.132,1.452,42.2,0,0,0
run,7.952460340000016,294.0,0.23,0.0,-0.23,-0.02,0.077,-0.084,1.848,42.2,0,0,0
run,7.997099222000088,288.0,0.25,-0.01,0.27,0.02,0.067,0.11,1.604,42.2,0,0,0
stop,0.006677409000076295,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.06142236100004084,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.11606775700010985,263.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0
stop,0.170713952999904,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.2253473490000033,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.28008436399977654,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.33480675400005566,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.38947570299978906,263.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0
stop,0.44413927599998715,263.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0
stop,0.49876246299982085,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.5534518609997576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.6101681750001262,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0
stop,0.664897222000036,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,42.2,0,0,0
stop,0.7197577609999826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.7745753869999135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
