phase,t,erpm,iq,id,imotor,ibat,duty,vd,vq,vin,fault,position,position_target
run,0.0050491940000938484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
run,0.05199762500024008,0.0,0.2,-0.01,0.0,0.0,0.043,0.179,1.008,42.3,0,0,0
run,0.09669199500012837,0.0,0.36,0.0,0.0,0.0,0.048,0.169,1.155,42.2,0,0,0
run,0.1413871980003023,0.0,0.37,0.0,-0.37,-0.02,0.05,-0.056,1.194,42.2,0,0,0
run,0.18810314000029393,0.0,0.36,0.01,0.0,0.0,0.064,-0.274,1.504,42.2,0,0,0
run,0.23282717500023864,0.0,0.35,0.0,0.0,0.0,0.07,-0.177,1.687,42.2,0,0,0
run,0.27746605600032126,0.0,0.35,0.02,0.36,0.04,0.095,-0.81,2.142,42.2,0,0,0
run,0.3242537450000782,399.0,0.25,0.0,0.27,0.04,0.094,-0.644,2.17,42.2,0,0,0
run,0.371037337999951,535.0,0.09,-0.01,0.0,0.0,0.076,-0.355,1.795,42.2,0,0,0
run,0.41568079500029853,477.0,0.08,-0.02,-0.09,-0.02,0.057,-0.019,1.377,42.2,0,0,0
run,0.46030389900033697,426.0,0.11,0.01,-0.12,-0.02,0.044,-0.304,1.007,42.2,0,0,0
run,0.5050207660001433,320.0,0.15,-0.02,0.0,0.0,0.039,0.204,0.917,42.2,0,0,0
run,0.5498848699999144,320.0,0.18,0.0,0.0,0.0,0.033,0.125,0.783,42.2,0,0,0
run,0.5947660629999518,320.0,0.18,0.0,0.0,0.0,0.026,0.25,0.576,42.2,0,0,0
run,0.6395285630001126,320.0,0.17,0.0,0.0,0.0,0.028,0.283,0.602,42.2,0,0,0
run,0.6863389410000309,320.0,0.17,0.0,0.17,0.02,0.026,0.258,0.573,42.2,0,0,0
run,0.7310825610002212,320.0,0.17,0.0,0.0,0.0,-0.051,1.216,-0.102,42.2,0,0,0
run,0.7757903720003014,320.0,0.18,-0.01,0.0,0.0,0.024,0.271,0.514,42.2,0,0,0
run,0.8207077259999096,320.0,0.16,0.0,0.17,0.02,0.028,0.325,0.596,42.2,0,0,0
run,0.8655631260003247,320.0,0.18,0.0,0.0,0.0,0.027,0.396,0.522,42.2,0,0,0
run,0.9103568909999922,320.0,0.16,0.0,0.0,0.0,0.026,0.265,0.57,42.2,0,0,0
run,0.9572013179999885,320.0,0.19,-0.01,0.0,0.0,0.021,0.26,0.436,42.2,0,0,0
run,1.004036848999931,0.0,0.23,0.02,0.0,0.0,0.047,0.144,1.114,42.2,0,0,0
run,1.0512751139999637,62.0,0.35,0.01,0.0,0.0,0.052,-0.242,1.228,42.2,0,0,0
run,1.098142709000058,58.0,0.3,0.0,0.0,0.0,0.066,-0.045,1.577,42.2,0,0,0
run,1.1428920580001432,56.0,0.33,0.0,0.0,0.0,0.08,-0.031,1.931,42.2,0,0,0
run,1.187769987000138,200.0,0.32,0.01,0.0,0.0,0.086,-0.084,2.072,42.2,0,0,0
run,1.2325456399998984,251.0,0.25,0.0,0.26,0.02,0.07,-0.286,1.668,42.2,0,0,0
run,1.2772267620002822,308.0,0.22,0.01,0.0,0.0,0.061,-0.271,1.443,42.2,0,0,0
run,1.321937550000257,309.0,0.19,0.0,0.2,0.02,0.055,-0.163,1.306,42.2,0,0,0
run,1.3686788370000613,267.0,0.18,0.0,0.0,0.0,0.058,-0.204,1.381,42.2,0,0,0
