phase,t,erpm,iq,id,imotor,ibat,duty,vd,vq,vin,fault,position,position_target
run,0.005108876999656786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
run,0.05221319099973698,0.0,0.29,0.0,-0.31,-0.02,0.061,0.11,1.463,42.2,0,0,0
run,0.09909541899969554,0.0,0.51,0.02,0.52,0.02,0.106,-0.359,2.522,42.2,0,0,0
run,0.14599899099994218,0.0,0.54,0.03,0.55,0.06,0.123,-0.875,2.818,42.2,0,0,0
run,0.19074399299961442,677.0,0.1,-0.04,0.0,0.0,0.16,0.874,3.746,42.2,0,0,0
run,0.2353701449997061,586.0,0.07,-0.03,0.1,0.02,0.128,0.086,3.087,42.2,0,0,0
run,0.28217496099978234,524.0,0.04,0.02,0.07,0.04,0.054,-0.214,1.288,42.2,0,0,0
run,0.3290511729996979,346.0,0.14,0.02,0.0,0.0,0.071,-0.626,1.584,42.2,0,0,0
run,0.37377569499994934,314.0,0.21,-0.03,0.23,0.02,0.082,-0.082,1.961,42.2,0,0,0
run,0.4184703599999011,310.0,0.29,0.0,0.31,0.02,0.074,-0.345,1.742,42.2,0,0,0
run,0.46395753299975695,350.0,0.24,0.02,0.0,0.0,0.086,-0.551,1.985,42.2,0,0,0
run,0.5086641979996784,435.0,0.2,0.0,0.23,0.04,0.086,-0.602,1.987,42.2,0,0,0
run,0.553401200999815,467.0,0.15,-0.01,0.0,0.0,0.077,-0.558,1.767,42.2,0,0,0
run,0.598154716999943,461.0,0.14,0.0,0.0,0.0,0.071,-0.299,1.672,42.2,0,0,0
run,0.6428040050000163,378.0,0.17,0.0,0.0,0.0,0.07,-0.246,1.654,42.2,0,0,0
run,0.6896779119997518,352.0,0.2,-0.02,0.22,0.02,0.077,-0.244,1.846,42.2,0,0,0
run,0.7343391360000169,343.0,0.26,0.01,0.28,0.02,0.067,-0.313,1.578,42.2,0,0,0
run,0.7789865039999313,362.0,0.22,0.0,0.0,0.0,0.076,-0.456,1.772,42.2,0,0,0
run,0.8257613999999194,391.0,0.21,0.0,0.22,0.02,0.091,-0.484,2.131,42.2,0,0,0
run,0.8705544999997983,419.0,0.2,0.0,0.0,0.0,0.075,-0.477,1.751,42.2,0,0,0
run,0.915243437999834,432.0,0.18,0.0,0.0,0.0,0.072,-0.465,1.661,42.2,0,0,0
run,0.9599875129997599,381.0,0.18,0.0,0.0,0.0,0.079,-0.336,1.883,42.2,0,0,0
run,1.004708866999863,357.0,0.2,-0.01,0.0,0.0,0.077,-0.329,1.83,42.2,0,0,0
run,1.0494218369999544,358.0,0.23,0.01,0.0,0.0,0.078,-0.496,1.809,42.2,0,0,0
run,1.0962573429997065,368.0,0.23,0.01,0.24,0.04,0.078,-0.554,1.788,42.2,0,0,0
run,1.143030447000001,387.0,0.21,-0.02,0.0,0.0,0.087,-0.306,2.066,42.2,0,0,0
run,1.1877980429999297,388.0,0.21,0.0,0.0,0.0,0.08,-0.586,1.84,42.2,0,0,0
run,1.2325346620000346,398.0,0.2,0.0,0.0,0.0,0.074,-0.331,1.759,42.2,0,0,0
run,1.2794529220000186,377.0,0.19,0.02,0.21,0.02,0.095,-0.613,2.207,42.2,0,0,0
run,1.3262882689996331,399.0,0.2,-0.01,0.0,0.0,0.083,-0.267,1.98,42.2,0,0,0
run,1.3731197429997337,439.0,0.19,0.0,0.0,0.0,0.085,0.044,2.045,42.2,0,0,0
run,1.4178176399996119,414.0,0.17,0.0,0.0,0.0,0.073,-0.403,1.705,42.2,0,0,0
run,1.4626140369996392,400.0,0.17,-0.02,0.0,0.0,0.08,-0.36,1.89,42.2,0,0,0
run,1.507421826999689,396.0,0.2,0.01,0.0,0.0,0.074,-0.613,1.673,42.2,0,0,0
run,1.5521733259997745,380.0,0.19,0.0,0.21,0.02,0.084,-0.551,1.957,42.2,0,0,0
run,1.5989291500000036,376.0,0.21,-0.02,0.0,0.0,0.079,-0.207,1.901,42.2,0,0,0
run,1.6436373519995868,366.0,0.23,0.0,0.24,0.04,0.069,-0.167,1.649,42.2,0,0,0
run,1.6883729149999454,366.0,0.22,0.01,0.24,0.02,0.075,-0.16,1.795,42.2,0,0,0
run,1.735111169999982,348.0,0.22,0.04,0.25,0.04,0.083,-0.874,1.804,42.2,0,0,0
run,1.7819243709996044,409.0,0.21,-0.01,0.25,0.02,0.095,-0.716,2.182,42.2,0,0,0
run,1.826603003999935,526.0,0.16,-0.01,0.0,0.0,0.073,-0.248,1.751,42.2,0,0,0
run,1.8713552399999571,441.0,0.11,0.01,0.0,0.0,0.079,-0.521,1.83,42.2,0,0,0
run,1.9161407560000043,381.0,0.16,-0.01,0.0,0.0,0.075,-0.583,1.719,42.2,0,0,0
run,1.9608296299998074,358.0,0.23,-0.01,0.0,0.0,0.064,-0.216,1.525,42.2,0,0,0
run,2.0055784409996704,338.0,0.24,0.0,0.0,0.0,0.063,-0.008,1.523,42.2,0,0,0
run,2.0503194759999133,304.0,0.27,0.01,0.28,0.04,0.077,-0.45,1.793,42.2,0,0,0
run,2.095133282000006,300.0,0.27,0.0,0.27,0.02,0.092,-0.184,2.21,42.2,0,0,0
run,2.1399317589998645,372.0,0.29,0.0,0.3,0.02,0.079,-0.493,1.849,42.2,0,0,0
run,2.1846824589997595,407.0,0.19,0.0,0.0,0.0,0.073,-0.461,1.705,42.2,0,0,0
run,2.2294775440000194,380.0,0.19,-0.01,0.0,0.0,0.061,-0.255,1.444,42.2,0,0,0
run,2.276274808999915,340.0,0.23,0.0,0.0,0.0,0.078,-0.243,1.867,42.2,0,0,0
run,2.3230842660000235,335.0,0.27,0.01,0.0,0.0,0.074,-0.41,1.733,42.2,0,0,0
run,2.369884859999729,325.0,0.25,0.0,0.0,0.0,0.079,-0.216,1.879,42.2,0,0,0
run,2.4145386599998346,341.0,0.26,-0.01,0.0,0.0,0.074,-0.33,1.758,42.2,0,0,0
run,2.461416311999983,353.0,0.25,0.0,0.27,0.02,0.078,-0.044,1.88,42.2,0,0,0
run,2.508235209999839,375.0,0.24,0.02,0.0,0.0,0.071,-0.48,1.631,42.2,0,0,0
run,2.553066743999807,357.0,0.21,0.0,0.0,0.0,0.076,-0.646,1.711,42.2,0,0,0
run,2.5977410249997774,366.0,0.22,-0.02,0.23,0.02,0.086,-0.299,2.056,42.2,0,0,0
run,2.642411305999758,397.0,0.25,0.0,0.0,0.0,0.067,-0.394,1.559,42.2,0,0,0
run,2.6871552220000012,372.0,0.19,-0.01,0.0,0.0,0.068,-0.345,1.598,42.2,0,0,0
run,2.731830462999824,347.0,0.23,0.01,0.0,0.0,0.073,-0.156,1.76,42.2,0,0,0
run,2.7787077309999404,334.0,0.24,0.0,0.25,0.02,0.078,-0.318,1.851,42.2,0,0,0
run,2.8255450929996186,340.0,0.27,0.0,0.0,0.0,0.076,-0.528,1.763,42.2,0,0,0
run,2.8702929129999575,345.0,0.25,0.01,0.0,0.0,0.081,-0.547,1.876,42.2,0,0,0
run,2.9150424599997677,370.0,0.24,-0.01,0.0,0.0,0.091,-0.35,2.152,42.2,0,0,0
run,2.9617758189997403,401.0,0.24,0.0,0.0,0.0,0.078,-0.584,1.795,42.2,0,0,0
run,3.008637950999855,408.0,0.19,0.0,-0.2,-0.02,0.102,0.734,2.348,42.2,0,0,0
run,3.0554568479997215,403.0,0.22,-0.01,-0.23,-0.02,0.058,-0.142,1.396,42.2,0,0,0
run,3.1002235490000203,367.0,0.2,0.0,0.22,0.02,0.074,-0.079,1.79,42.2,0,0,0
run,3.1449094139998124,349.0,0.27,0.0,0.27,0.02,0.063,-0.376,1.478,42.2,0,0,0
run,3.191624147999846,329.0,0.25,-0.01,0.0,0.0,0.066,-0.198,1.579,42.2,0,0,0
run,3.238413508999656,300.0,0.28,0.03,0.0,0.0,0.087,-0.42,2.059,42.2,0,0,0
run,3.283166544999858,344.0,0.27,0.0,0.0,0.0,0.104,-0.731,2.397,42.2,0,0,0
