phase,t,erpm,iq,id,imotor,ibat,duty,vd,vq,vin,fault,position,position_target
run,3.327850362999925,439.0,0.22,0.0,0.0,0.0,0.082,-0.31,1.962,42.2,0,0,0
run,3.374645995999799,417.0,0.18,0.01,0.19,0.02,0.083,-0.688,1.867,42.2,0,0,0
run,3.421435260999715,388.0,0.19,-0.02,0.0,0.0,0.077,-0.25,1.835,42.2,0,0,0
run,3.468325905999791,375.0,0.22,0.0,0.0,0.0,0.078,-0.44,1.834,42.2,0,0,0
run,3.5151569959998596,353.0,0.23,0.0,0.0,0.0,0.077,-0.341,1.813,42.2,0,0,0
run,3.5599414250000336,366.0,0.25,0.0,0.0,0.0,0.126,0.184,3.03,42.2,0,0,0
run,3.604751870999735,368.0,0.23,0.0,0.24,0.02,0.079,-0.269,1.893,42.2,0,0,0
run,3.65171263000002,381.0,0.24,0.01,0.25,0.04,0.079,-0.26,1.89,42.2,0,0,0
run,3.698591370000031,363.0,0.23,0.0,0.0,0.0,0.079,-0.494,1.841,42.2,0,0,0
run,3.743336597999587,395.0,0.21,0.0,0.22,0.02,0.123,-2.191,1.978,42.2,0,0,0
run,3.788081633999809,437.0,0.26,0.0,0.27,0.04,0.055,-0.665,1.133,42.2,0,0,0
run,3.8348988039997494,403.0,0.15,-0.01,0.0,0.0,0.072,-0.529,1.656,42.2,0,0,0
run,3.8796642559996144,356.0,0.2,0.0,0.0,0.0,0.078,-0.369,1.832,42.2,0,0,0
run,3.9243714669996734,369.0,0.25,0.0,0.27,0.02,0.08,-0.364,1.887,42.2,0,0,0
run,3.9712343979999787,406.0,0.22,0.01,0.0,0.0,0.082,-0.455,1.92,42.2,0,0,0
run,4.0180504799996015,413.0,0.2,0.0,0.0,0.0,0.084,-0.355,1.996,42.2,0,0,0
run,4.064869377999912,410.0,0.18,0.01,0.0,0.0,0.085,-0.616,1.947,42.2,0,0,0
run,4.109554795999884,421.0,0.2,-0.02,0.0,0.0,0.08,-0.33,1.904,42.2,0,0,0
run,4.1542195409997476,397.0,0.21,0.02,0.22,0.02,0.08,-0.602,1.83,42.2,0,0,0
run,4.201149546999659,397.0,0.2,0.0,0.0,0.0,0.129,-2.244,2.163,42.2,0,0,0
run,4.247915226999794,402.0,0.23,-0.02,0.25,0.02,0.061,-0.561,1.359,42.2,0,0,0
run,4.292737097999634,364.0,0.2,0.0,0.0,0.0,0.075,-0.279,1.772,42.2,0,0,0
run,4.3375479919996,339.0,0.23,0.0,0.25,0.02,0.085,-0.347,2.017,42.2,0,0,0
run,4.384351817999686,341.0,0.28,-0.02,0.0,0.0,0.076,-0.14,1.821,42.2,0,0,0
run,4.43120498899998,372.0,0.26,0.03,0.0,0.0,0.071,-0.317,1.685,42.2,0,0,0
run,4.475852197999757,346.0,0.24,-0.02,0.25,0.02,0.074,-0.197,1.759,42.2,0,0,0
run,4.520571536999796,323.0,0.27,0.01,0.0,0.0,0.087,-0.271,2.087,42.2,0,0,0
run,4.567385218999789,331.0,0.28,-0.02,0.3,0.02,0.071,-0.16,1.705,42.2,0,0,0
run,4.6142191889998685,368.0,0.24,0.02,0.0,0.0,0.08,-0.177,1.927,42.2,0,0,0
run,4.6610016059999,369.0,0.23,0.01,0.24,0.02,0.033,-0.554,0.581,42.2,0,0,0
run,4.705741681999825,399.0,0.22,-0.01,0.25,0.02,0.084,-0.125,2.025,42.2,0,0,0
run,4.750409179999679,425.0,0.22,0.01,0.22,0.02,0.075,-0.495,1.735,42.2,0,0,0
run,4.795280459999958,401.0,0.2,0.0,0.2,0.02,0.075,-0.47,1.742,42.2,0,0,0
run,4.840204733999599,372.0,0.21,-0.02,0.0,0.0,0.091,0.188,2.18,42.2,0,0,0
run,4.887095922999833,378.0,0.27,0.0,0.29,0.04,0.071,-0.257,1.7,42.2,0,0,0
run,4.933870146999652,376.0,0.23,0.0,0.0,0.0,0.071,-0.105,1.7,42.2,0,0,0
run,4.98061953899969,336.0,0.24,0.02,0.26,0.02,0.084,-0.422,1.976,42.2,0,0,0
run,5.025376127999607,357.0,0.25,0.0,0.27,0.02,0.086,-0.468,2.019,42.2,0,0,0
run,5.071610429999964,419.0,0.25,0.0,0.0,0.0,0.078,-0.67,1.765,42.2,0,0,0
run,5.116327944999739,414.0,0.2,0.0,0.2,0.04,0.076,-0.544,1.759,42.2,0,0,0
run,5.1632229739998365,404.0,0.19,-0.02,0.21,0.02,0.085,-0.366,2.024,42.2,0,0,0
run,5.207884646999901,411.0,0.23,0.01,0.0,0.0,0.075,-0.487,1.728,42.2,0,0,0
run,5.252535631999763,387.0,0.2,0.02,0.0,0.0,0.083,-0.938,1.762,42.2,0,0,0
run,5.297346239000035,372.0,0.23,-0.02,0.0,0.0,0.119,0.112,2.853,42.2,0,0,0
run,5.342100202999973,377.0,0.23,-0.02,0.25,0.04,0.075,0.007,1.802,42.2,0,0,0
run,5.386819414000001,377.0,0.25,0.03,0.26,0.02,0.068,-0.41,1.581,42.2,0,0,0
run,5.431541857999946,346.0,0.23,0.0,0.24,0.04,0.08,-0.448,1.867,42.2,0,0,0
run,5.4761923309997655,331.0,0.26,0.0,0.27,0.04,0.094,-0.327,2.237,42.2,0,0,0
run,5.521154269999897,385.0,0.27,0.0,0.29,0.02,0.087,-0.657,1.983,42.2,0,0,0
run,5.566071087999717,430.0,0.21,0.0,0.23,0.02,0.081,-0.41,1.9,42.2,0,0,0
run,5.610834204999719,450.0,0.16,0.01,0.21,0.02,0.166,1.028,3.857,42.2,0,0,0
run,5.65549754299991,476.0,0.19,0.0,0.22,0.02,0.063,-0.524,1.413,42.2,0,0,0
run,5.700200304999726,434.0,0.15,0.0,0.17,0.04,0.066,-0.755,1.41,42.2,0,0,0
run,5.744959165999717,391.0,0.17,-0.02,0.19,0.02,0.079,-0.14,1.894,42.2,0,0,0
run,5.791707405999659,346.0,0.24,0.0,0.0,0.0,0.081,-0.32,1.924,42.2,0,0,0
run,5.838430172999779,380.0,0.25,0.01,0.0,0.0,0.088,-0.7,1.989,42.2,0,0,0
run,5.883116167000026,424.0,0.24,0.0,0.24,0.02,0.083,-0.524,1.923,42.2,0,0,0
run,5.927810417999808,449.0,0.18,0.0,0.0,0.0,0.08,-0.486,1.862,42.2,0,0,0
run,5.974541056999897,414.0,0.19,0.0,0.0,0.0,0.075,-0.716,1.661,42.2,0,0,0
run,6.02130475399963,380.0,0.21,-0.02,0.0,0.0,0.071,-0.119,1.7,42.2,0,0,0
run,6.065967802999694,356.0,0.24,0.0,0.0,0.0,0.076,-0.348,1.802,42.2,0,0,0
run,6.110630468999716,352.0,0.26,-0.01,0.29,0.02,0.072,-0.348,1.702,42.2,0,0,0
run,6.157406069999979,378.0,0.27,0.03,0.0,0.0,0.077,-0.507,1.778,42.2,0,0,0
run,6.204228776000036,364.0,0.23,0.0,0.0,0.0,0.082,-0.526,1.897,42.2,0,0,0
run,6.2510383629996795,373.0,0.23,-0.02,0.25,0.02,0.085,-0.45,1.989,42.2,0,0,0
run,6.295817863999673,417.0,0.24,0.03,0.0,0.0,0.088,-0.746,1.991,42.2,0,0,0
run,6.340522994999901,418.0,0.2,-0.02,0.0,0.0,0.083,-0.507,1.927,42.2,0,0,0
run,6.38538912399963,424.0,0.19,0.0,0.21,0.04,0.083,-0.952,1.767,42.2,0,0,0
run,6.430148465000002,410.0,0.26,0.0,0.27,0.02,0.056,-0.316,1.3,42.2,0,0,0
run,6.474995072999718,372.0,0.18,0.0,0.0,0.0,0.073,-0.566,1.66,42.2,0,0,0
run,6.521817459999966,357.0,0.22,0.0,0.24,0.02,0.09,-0.315,2.14,42.2,0,0,0
run,6.5686274619997675,365.0,0.26,-0.01,0.0,0.0,0.077,-0.165,1.855,42.2,0,0,0
run,6.6154082469997775,416.0,0.24,0.02,0.0,0.0,0.075,-0.649,1.681,42.2,0,0,0
run,6.660159267999916,390.0,0.21,0.0,0.0,0.0,0.083,-0.487,1.929,42.2,0,0,0
run,6.704968146999818,401.0,0.2,-0.01,0.21,0.04,0.086,-0.311,2.057,42.2,0,0,0
run,6.751757315999839,430.0,0.24,0.02,0.25,0.02,0.063,-1.501,0.209,42.2,0,0,0
run,6.798548821999702,406.0,0.19,-0.02,0.0,0.0,0.067,-0.322,1.568,42.2,0,0,0
run,6.84529421399975,382.0,0.22,0.0,0.23,0.04,0.087,-0.461,2.049,42.2,0,0,0
run,6.8920912559997305,391.0,0.26,-0.01,0.0,0.0,0.067,-0.309,1.58,42.2,0,0,0
run,6.936805570999695,380.0,0.21,0.0,0.0,0.0,0.194,-4.26,1.929,42.2,0,0,0
run,6.9815130069996485,362.0,0.25,-0.01,0.0,0.0,0.073,-0.174,1.755,42.2,0,0,0
stop,0.004625277000286587,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.059417406000193296,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.11414991700030441,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.1689453100002538,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.2237416950001716,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.27860656300026676,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.33332365000023856,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0,0,0
stop,0.38803334400017775,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
stop,0.4426987490001011,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
stop,0.4974848619999648,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
stop,0.5522313569999824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
stop,0.607065184000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
stop,0.6618217280001772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
stop,0.716595105000124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
stop,0.7737047200002962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0
