phase,t,erpm,iq,id,imotor,ibat,duty,vd,vq,vin,fault,position,position_target,candidate,target_command
run,0.005456417000004876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.052710297999965405,0.0,0.59,-0.02,0.0,0.0,0.091,0.366,2.166,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.09788042199988922,0.0,1.0,0.09,1.01,0.08,0.175,-1.568,3.918,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.004486266999720101,1142.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.059256864999952086,930.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1139587899997423,711.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1687267319998682,557.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2234460009999566,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2782166629999665,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.33295298899975023,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.3876494459996138,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.44234823799979495,341.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.4973236409996389,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.5522835869996925,341.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.6069440429996575,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.6616840839997167,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.716434333000052,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.7714276869996866,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.005456417000004876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.052710297999965405,0.0,0.59,-0.02,0.0,0.0,0.091,0.366,2.166,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.09788042199988922,0.0,1.0,0.09,1.01,0.08,0.175,-1.568,3.918,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.004486266999720101,1142.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.059256864999952086,930.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1139587899997423,711.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1687267319998682,557.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2234460009999566,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2782166629999665,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.33295298899975023,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.3876494459996138,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.44234823799979495,341.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.4973236409996389,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.5522835869996925,341.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.6069440429996575,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.6616840839997167,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.716434333000052,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.7714276869996866,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.005456417000004876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.052710297999965405,0.0,0.59,-0.02,0.0,0.0,0.091,0.366,2.166,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.09788042199988922,0.0,1.0,0.09,1.01,0.08,0.175,-1.568,3.918,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.004486266999720101,1142.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.059256864999952086,930.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1139587899997423,711.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1687267319998682,557.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2234460009999566,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2782166629999665,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.33295298899975023,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.3876494459996138,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.44234823799979495,341.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.4973236409996389,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.5522835869996925,341.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.6069440429996575,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.6616840839997167,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.716434333000052,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.7714276869996866,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.005456417000004876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.052710297999965405,0.0,0.59,-0.02,0.0,0.0,0.091,0.366,2.166,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.09788042199988922,0.0,1.0,0.09,1.01,0.08,0.175,-1.568,3.918,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.004486266999720101,1142.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.059256864999952086,930.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1139587899997423,711.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1687267319998682,557.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2234460009999566,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2782166629999665,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.33295298899975023,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.3876494459996138,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.44234823799979495,341.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.4973236409996389,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.5522835869996925,341.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.6069440429996575,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.6616840839997167,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.716434333000052,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.7714276869996866,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.005456417000004876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.052710297999965405,0.0,0.59,-0.02,0.0,0.0,0.091,0.366,2.166,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.09788042199988922,0.0,1.0,0.09,1.01,0.08,0.175,-1.568,3.918,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.004486266999720101,1142.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.059256864999952086,930.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1139587899997423,711.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1687267319998682,557.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2234460009999566,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2782166629999665,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.33295298899975023,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.3876494459996138,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.44234823799979495,341.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.4973236409996389,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.5522835869996925,341.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.6069440429996575,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.6616840839997167,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.716434333000052,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.7714276869996866,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.005456417000004876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.052710297999965405,0.0,0.59,-0.02,0.0,0.0,0.091,0.366,2.166,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
run,0.09788042199988922,0.0,1.0,0.09,1.01,0.08,0.175,-1.568,3.918,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.004486266999720101,1142.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.059256864999952086,930.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,42.2,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1139587899997423,711.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.1687267319998682,557.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2234460009999566,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.2782166629999665,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.33295298899975023,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
stop,0.3876494459996138,341.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.3,0,0,0,"[0.0038, 0.0005, 0.0]",600.0
