abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,repeat,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,left_kp0.002_ki0.003_kd0_+300_r1,0,0,5049,0.0,0.003,0.002,0.9199999999999999,0.0,left,0.0,1.2,0.07,122.0,1.19,0,0,1,,0,111.16666666666667,-62.944444444444436,7.646713164636308,5.0,300.0
,left_kp0.002_ki0.003_kd0_-300_r1,0,0,5049,0.0,0.003,0.002,0.85,-0.0,left,0.0,1.14,0.071,128.0,1.14,0,0,1,,0,73.16666666666667,-75.6111111111111,8.70663859107265,16.0,-300.0
,left_kp0.002_ki0.003_kd0_+300_r2,0,0,5049,0.0,0.003,0.002,0.8099999999999999,0.0,left,0.0,1.12,0.085,136.0,1.12,0,0,2,,0,86.33333333333333,-71.22222222222223,11.04033010778613,5.0,300.0
,left_kp0.002_ki0.003_kd0_-300_r2,0,0,5049,0.0,0.003,0.002,0.9199999999999999,-0.0,left,0.0,1.2,0.069,117.0,1.2,0,0,2,,0,66.33333333333333,-77.8888888888889,14.851112939963642,27.0,-300.0
,right_kp0.002_ki0.003_kd0_+300_r1,0,0,5171,0.0,0.003,0.002,0.2,0.0,right,5.0,0.29,0.089,315.0,0.29,0,0,1,0.438547675999871,0,296.0,-1.3333333333333335,16.852299546352718,247.0,300.0
,right_kp0.002_ki0.003_kd0_-300_r1,0,0,5176,0.0,0.003,0.002,0.19,-0.0,right,1.0,0.24,0.091,303.0,0.24,1,0,1,0.7149352739979804,0,285.8333333333333,-4.7222222222222285,11.216307572260826,231.0,-300.0
,right_kp0.002_ki0.003_kd0_+300_r2,0,0,5385,0.0,0.003,0.002,0.2,0.0,right,0.0,0.23,0.089,299.0,0.23,2,0,2,0.7133234389984864,0,287.1666666666667,-4.2777777777777715,7.3805299418281765,116.0,300.0
,right_kp0.002_ki0.003_kd0_-300_r2,0,0,5385,0.0,0.003,0.002,0.21000000000000002,-0.0,right,0.0,0.27,0.094,300.0,0.27,2,0,2,0.7110867980009061,0,285.6666666666667,-4.7777777777777715,9.321420969406375,271.0,-300.0
